Nbr,Paper,St type,Start,End type,End,L15 st,L15 end,D_G,D_N,D_H3,D_H4,D_Other,GHG/T,M/O,Title,Abstract,Authors,Year,Journal,Volume,Issue,Pages (or article number),Sub.date,Pub.date,DOI,Link,Detection,Attribution,Impacts,Future,Language
71,Duci? et al. 2015b,4,1998,6,2012,,,,,,,"UAH, RSS",1,1,Tropical temperature altitude amplification in the hiatus period (1998-2012),"In the period 1998-2012 there was a stagnation in temperature rise, despite the GHGs radiation forcing is increased (hiatus period). According to Global Circulation Models simulations, expected response on the rise of GHGs forcing is tropical temperature altitude amplification - temperature increases faster in higher troposphere than in lower troposphere. In this paper, two satellite data sets, UAH MSU and RSS, were used to test altitude temperature amplification in tropic (20¯N-20¯S) in the hiatus period. We compared data from satellite data sets from lower troposphere (TLT) and middle troposphere (TMT) in general and particularly for land and ocean (for UAH MSU). The results from both satellite measurements showed the presence of hiatus, i.e. slowdown of the temperature rise in the period 1998-2012 compared to period 1979-2012 (UAH MSU) and temperature fall for RSS data. Smaller increase, i.e. temperature fall over ocean showed that hiatus is an ocean phenomenon above all. Data for UAH MSU showed that temperature altitude amplification in tropic was not present either for period 1979-2012, or 1998-2012. RSS data set also do not show temperature altitude amplification either for longer (1979-2012), or for shorter period (1998-2012). RSS data for successive 15-year periods from 1979-1993 till 1998-2012 does not show tropical temperature altitude amplification and in one case negative trend is registered in TLT and in two cases in TMT. In general, our results do not show presence of temperature altitude amplification in tropic in the hiatus period.","Vladan D. Duci?, Bo?ko M. Milovanovi?, Gorica B. Stanojevi?, Milan ?. Milenkovi?, Nina B. ?ur?i?",2015,Thermal Science,19,2,371-379,,,10.2298/TSCI150410103D,http://www.doiserbia.nb.rs/Article.aspx?id=0354-98361500103D,1,,,,En
87,"Parker, 2014a",4,2000,"11, 14",2014,,,1,1,,1,,,1,"The ""Present Global Warming Hiatus"" Is Part Of A Quasi-60 Years Oscillation In The Worldwide Average Temperatures In The Downwards Phase","Since the beginning of this century, the seas have not been warming over the surface as well as in the layers up to 2000mdepth, asmeasured in theARGO project. Over the same period, the reconstructed land and sea temperatures of the HADCRUT4, GISS and NCDCdata sets have been warming marginally, mostly because of the largest opportunities to introduce upward biases in a less accurate mixed computational and experimental result. Over the same period of time, the CMIP3 and CMIP5 have predicted huge warmings that have no support in themeasurements or reconstructions. It is shown here that the ?ìpresent global warming hiatus?î is possibly a repetition of a dwelling period of not significant warming that the reconstructions locate from1945 to 1975.",Albert Parker,2014,Environmental Science : An Indian Journal,9,1,14-22,,,,http://www.tsijournals.com/abstract/the-present-global-warming-hiatus-is-part-of-a-quasi60-years-oscillation-in-the-worldwide-average-temperatures-in-the-do-2828.html,1,1,,,En
93,"Leggett & Ball, 2015",4,1998,13,2014,,,,,,1,"Cowtan & Way, Karl et al. 2015",,1,"Granger causality from changes in level of atmospheric CO2 to global surface temperature and the El Ni§o?Southern Oscillation, and a candidate mechanism in global photosynthesis","A significant difference, now of some 16 years' duration, has been shown to exist between the observed global surface temperature trend and that expected from the majority of climate simulations. For its own sake, and to enable better climate prediction for policy use, the reasons behind this mismatch need to be better understood. While an increasing number of possible causes have been proposed, the candidate causes have not yet converged. With this background, this paper reinvestigates the relationship between change in the level of CO2 and two of the major climate variables, atmospheric temperature and the El Ni§o?Southern Oscillation (ENSO). Using time-series analysis in the form of dynamic regression modelling with autocorrelation correction, it is shown that first-difference CO2 leads temperature and that there is a highly statistically significant correlation between first-difference CO2 and temperature. Further, a correlation is found for second-difference CO2 with the Southern Oscillation Index, the atmospheric-pressure component of ENSO. This paper also shows that both these correlations display Granger causality. It is shown that the first-difference CO2 and temperature model shows no trend mismatch in recent years. These results may contribute to the prediction of future trends for global temperature and ENSO. Interannual variability in the growth rate of atmospheric CO2 is standardly attributed to variability in the carbon sink capacity of the terrestrial biosphere. The terrestrial biosphere carbon sink is created by the difference between photosynthesis and respiration (net primary productivity): a major way of measuring global terrestrial photosynthesis is by means of satellite measurements of vegetation reflectance, such as the Normalized Difference Vegetation Index (NDVI). In a preliminary analysis, this study finds a close correlation between an increasing NDVI and the increasing climate model/temperature mismatch (as quantified by the difference between the trend in the level of CO2 and the trend in temperature).","L. M. W. Leggett, D. A. Ball",2015,Atmospheric Chemistry and Physics,15,,11571-11592,03-05-14,21-10-15,10.5194/acp-15-11571-2015,http://www.atmos-chem-phys.net/15/11571/2015/acp-15-11571-2015.html,,1,,,En
107,"Parker, 2014b",4,2000,"11, 14",2014,,,,,,,NSSTC SST,,1,Present contributions to sea level rise by thermal expansion and ice melting and implication on coastal management,"Increasing ocean heat content has been suggested on the basis of theories. Reconstructions (modelling results based on selected scattered measurements) and simulations (modelling results not based on observations) have both shown a significant warming since the year 1970 that increased at an ever faster rate over the 14 years this century. It is shown here that, contrary to this claim, the detailed measurements of the ocean temperature and salinity by the sampling buoys of the ARGO project show only minor changes of temperature and salinity since the early 2000s. The ARGO results cover the ocean layers 0?2000 m except for the North and South Poles. The satellite NSSTC surface air temperature measurements over the world oceans show a global cooling over the last 11 years, and the satellite NSDIC sea ice extent measurements show globally increasing ice coverage over the North and South Poles. The North Pole sea ice is certainly reducing, but over the last 11 years the growth of the South Pole sea ice has more than compensated that loss. The true measurements are in marked contrast to theoretical reconstructions and simulations. This result has a huge implication on coastal management that should be based on observationally derived forecasts rather than ?projections? of models lacking validation.",Albert Parker,2014,Ocean & Coastal Management,98,,202-211,,24-06-14,10.1016/j.ocecoaman.2014.05.026,http://www.sciencedirect.com/science/article/pii/S0964569114001744,1,,,,En
217,,9b,,,,,,,,,,,,1,Discussion of the case of the missing heat,"The sea level projection of a 1 meter rise for the 21st century depends on climate models that have projected a given amount of anthropogenic warming during the same period. However, these same climate models predicted a warming also from 2000 to 2014, which has not been seen in the global surface temperature. Researchers have proposed several solutions such as the fact that the ?missing heat? was accumulated in the deep ocean. However, no evidences of a sufficient warming of the deep oceans have been observed. Other arguments has been proposed as well and found unsatisfactory. There is the opportunity that the ?heat? is not ?real? but ?missing? or ?hiding? somewhere. If the climate model projected ?heat? that simply does not exist in reality in the first place, consequently the models overestimate the anthropogenicwarming and also the sea level projections for the 21st century are overestimated.",Albert Parker,2014,Nonlinear Engineering,3,4,247-253,13-03-14,08-08-14,10.1515/nleng-2014-0011,http://www.degruyter.com/view/j/nleng.ahead-of-print/nleng-2014-0011/nleng-2014-0011.xml,,1,,,En
219,,9b,,,,,,,,,,,,1,Why global warming went missing since the year 2000,"Over the period January 2004 to present, the seas have experienced the lack of any warming, as finally properly measured in the ARGO project where a global array of more than 3,600 free-drifting profiling floats has measured the temperature of the upper 2000 m of the sea as it was not possible before. The warming of the seas has been a negligible 1.1*10-3 ¯C/year on average over the layer 0 ? 2000 dbar below the accuracy of the measure. Over the period January 2000 to present, the measured land and sea temperatures of the less reliable GISS, NCDC and HADCRUT4 data sets have shown a small warming of 4.2*10-3 ¯C/year on average. Same period, the climate models propose for the land and sea temperatures an unrealistic warming of 20.5*10-3 ¯C/year (average of CMIP3) and 18.2*10-3 ¯C/year (average of the CMIP5). The ?inconvenient truth? is that climate models are predicting a warming when there is no warming rather than simply overestimating the warming as discussed so far. The paper presents the failed validation of the climate models since their introduction and suggests the reasons of their failure in the overrated effect of the changed composition of the atmosphere and the neglected natural oscillations.",Albert Parker,2013,Nonlinear Engineering,2,3-4,129-135,,31-10-13,10.1515/nleng-2013-0017,http://www.degruyter.com/view/j/nleng.2013.2.issue-3-4/nleng-2013-0017/nleng-2013-0017.xml,,1,,,En
5,Smith et al. 2016,7,2001,13,2016,,,1,1,,1,,1,2,Role of volcanic and anthropogenic aerosols in the recent global surface warming slowdown,"The rate of global mean surface temperature (GMST) warming has slowed this century despite the increasing concentrations of greenhouse gases. Climate model experiments1, 2, 3, 4 show that this slowdown was largely driven by a negative phase of the Pacific Decadal Oscillation (PDO), with a smaller external contribution from solar variability, and volcanic and anthropogenic aerosols5, 6. The prevailing view is that this negative PDO occurred through internal variability7, 8, 9, 10, 11. However, here we show that coupled models from the Fifth Coupled Model Intercomparison Project robustly simulate a negative PDO in response to anthropogenic aerosols implying a potentially important role for external human influences. The recovery from the eruption of Mount Pinatubo in 1991 also contributed to the slowdown in GMST trends. Our results suggest that a slowdown in GMST trends could have been predicted in advance, and that future reduction of anthropogenic aerosol emissions, particularly from China, would promote a positive PDO and increased GMST trends over the coming years. Furthermore, the overestimation of the magnitude of recent warming by models is substantially reduced by using detection and attribution analysis to rescale their response to external factors, especially cooling following volcanic eruptions. Improved understanding of external influences on climate is therefore crucial to constrain near-term climate predictions.","Doug M. Smith, Ben B. B. Booth, Nick J. Dunstone, Rosie Eade, Leon Hermanson, Gareth S. Jones, Adam A. Scaife, Katy L. Sheen, Vikki Thompson",2016,NCC,6,October 2016,936-940,03-03-16,20-06-16,10.1038/nclimate3058,http://www.nature.com/nclimate/journal/v6/n10/full/nclimate3058.html,,1,,,En
11,Santer et al. 2014,4,1998,13,2013,1998,2012,,,,,"UAH, RSS",1,2,Volcanic contribution to decadal changes in tropospheric temperature,"Despite continued growth in atmospheric levels of greenhouse gases, global mean surface and tropospheric temperatures have shown slower warming since 1998 than previously. Possible explanations for the slow-down include internal climate variability, external cooling influences and observational errors. Several recent modelling studies have examined the contribution of early twenty-first-century volcanic eruptions to the muted surface warming. Here we present a detailed analysis of the impact of recent volcanic forcing on tropospheric temperature, based on observations as well as climate model simulations. We identify statistically significant correlations between observations of stratospheric aerosol optical depth and satellite-based estimates of both tropospheric temperature and short-wave fluxes at the top of the atmosphere. We show that climate model simulations without the effects of early twenty-first-century volcanic eruptions overestimate the tropospheric warming observed since 1998. In two simulations with more realistic volcanic influences following the 1991 Pinatubo eruption, differences between simulated and observed tropospheric temperature trends over the period 1998 to 2012 are up to 15% smaller, with large uncertainties in the magnitude of the effect. To reduce these uncertainties, better observations of eruption-specific properties of volcanic aerosols are needed, as well as improved representation of these eruption-specific properties in climate model simulations.","Benjamin D. Santer, CÇline Bonfils, Jeffrey F. Painter, Mark D. Zelinka, Carl Mears, Susan Solomon, Gavin A. Schmidt, John C. Fyfe, Jason N. S. Cole, Larissa Nazarenko, Karl E. Taylor, Frank J. Wentz",2014,Nature geoscience,7,3,185-189,29-11-13,23-02-14,10.1038/ngeo2098,http://www.nature.com/ngeo/journal/v7/n3/abs/ngeo2098.html,,1,,,En
20,Guemas et al. 2013,4,2000,6,2010,2000,2010,,,,,ERSST,1,2,Retrospective prediction of the global warming slowdown in the past decade,"Despite a sustained production of anthropogenic greenhouse gases, the Earth?s mean near-surface temperature paused its rise during the 2000?2010 period. To explain such a pause, an increase in ocean heat uptake below the superficial ocean layer has been proposed to overcompensate for the Earth?s heat storage. Contributions have also been suggested from the deep prolonged solar minimum, the stratospheric water vapour, the stratospheric and tropospheric aerosols. However, a robust attribution of this warming slowdown has not been achievable up to now. Here we show successful retrospective predictions of this warming slowdown up to 5 years ahead, the analysis of which allows us to attribute the onset of this slowdown to an increase in ocean heat uptake. Sensitivity experiments accounting only for the external radiative forcings do not reproduce the slowdown. The top-of-atmosphere net energy input remained in the [0.5?1]?W?m?2 interval during the past decade, which is successfully captured by our predictions. Most of this excess energy was absorbed in the top 700?m of the ocean at the onset of the warming pause, 65% of it in the tropical Pacific and Atlantic oceans. Our results hence point at the key role of the ocean heat uptake in the recent warming slowdown. The ability to predict retrospectively this slowdown not only strengthens our confidence in the robustness of our climate models, but also enhances the socio-economic relevance of operational decadal climate predictions.","Virginie Guemas, Francisco J. Doblas-Reyes, Isabel Andreu-Burillo, Muhammad Asif",2013,NCC,3,July 2013,649?653,08-11-12,07-04-13,10.1038/nclimate1863,http://www.nature.com/nclimate/journal/v3/n7/full/nclimate1863.html,,1,,,En
30,England et al. 2014,5,2001,"11, 13",2013,2001,2013,1,,,,,1,2,Recent intensification of wind-driven circulation in the Pacific and the ongoing warming hiatus,"Despite ongoing increases in atmospheric greenhouse gases, the Earth?s global average surface air temperature has remained more or less steady since 2001. A variety of mechanisms have been proposed to account for this slowdown in surface warming. A key component of the global hiatus that has been identified is cool eastern Pacific sea surface temperature, but it is unclear how the ocean has remained relatively cool there in spite of ongoing increases in radiative forcing. Here we show that a pronounced strengthening in Pacific trade winds over the past two decades?unprecedented in observations/reanalysis data and not captured by climate models?is sufficient to account for the cooling of the tropical Pacific and a substantial slowdown in surface warming through increased subsurface ocean heat uptake. The extra uptake has come about through increased subduction in the Pacific shallow overturning cells, enhancing heat convergence in the equatorial thermocline. At the same time, the accelerated trade winds have increased equatorial upwelling in the central and eastern Pacific, lowering sea surface temperature there, which drives further cooling in other regions. The net effect of these anomalous winds is a cooling in the 2012 global average surface air temperature of 0.1?0.2 ¯C, which can account for much of the hiatus in surface warming observed since 2001. This hiatus could persist for much of the present decade if the trade wind trends continue, however rapid warming is expected to resume once the anomalous wind trends abate.","Matthew H. England, Shayne McGregor, Paul Spence, Gerald A. Meehl, Axel Timmermann, Wenju Cai, Alex Sen Gupta, Michael J. McPhaden, Ariaan Purich, Agus Santoso",2014,NCC,4,,222-227,11-09-13,09-02-14,10.1038/nclimate2106,http://www.nature.com/nclimate/journal/v4/n3/abs/nclimate2106.html,,1,,1,En
