Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.0090
188002,-0.1295
188003,-0.1440
188004,-0.0609
188005,-0.0866
188006,-0.1763
188007,-0.1605
188008,-0.0832
188009,-0.0932
188010,-0.1892
188011,-0.2755
188012,-0.0892
188101,-0.0294
188102,-0.0382
188103,0.0222
188104,0.0612
188105,0.0140
188106,-0.1000
188107,-0.0471
188108,-0.0645
188109,-0.1940
188110,-0.2327
188111,-0.2318
188112,-0.0604
188201,0.0784
188202,0.0279
188203,0.0648
188204,-0.1357
188205,-0.1606
188206,-0.1503
188207,-0.0772
188208,-0.0174
188209,-0.0041
188210,-0.2216
188211,-0.1383
188212,-0.1823
188301,-0.2784
188302,-0.3021
188303,-0.1405
188304,-0.1832
188305,-0.1560
188306,-0.0182
188307,-0.0955
188308,-0.0619
188309,-0.1582
188310,-0.1749
188311,-0.1813
188312,-0.0905
188401,-0.1985
188402,-0.1574
188403,-0.2207
188404,-0.1955
188405,-0.1447
188406,-0.2086
188407,-0.3143
188408,-0.2837
188409,-0.2379
188410,-0.1839
188411,-0.2818
188412,-0.1599
188501,-0.4387
188502,-0.2670
188503,-0.1575
188504,-0.2673
188505,-0.2910
188506,-0.3203
188507,-0.2501
188508,-0.2541
188509,-0.2074
188510,-0.1403
188511,-0.1375
188512,0.0369
188601,-0.1196
188602,-0.2880
188603,-0.2926
188604,-0.1776
188605,-0.1654
188606,-0.2559
188607,-0.1718
188608,-0.2256
188609,-0.2033
188610,-0.2365
188611,-0.2044
188612,-0.1722
188701,-0.3881
188702,-0.3845
188703,-0.1709
188704,-0.1991
188705,-0.2445
188706,-0.2256
188707,-0.2792
188708,-0.3218
188709,-0.1908
188710,-0.3050
188711,-0.1634
188712,-0.2073
188801,-0.3931
188802,-0.3363
188803,-0.3045
188804,-0.1816
188805,-0.1669
188806,-0.1040
188807,-0.1211
188808,-0.1702
188809,-0.0759
188810,0.0083
188811,-0.0507
188812,0.0334
188901,-0.1018
188902,0.0082
188903,0.1151
188904,0.0438
188905,-0.0382
188906,-0.0809
188907,-0.1699
188908,-0.1473
188909,-0.2328
188910,-0.2019
188911,-0.2835
188912,-0.1887
189001,-0.3669
189002,-0.4326
189003,-0.3229
189004,-0.2620
189005,-0.3929
189006,-0.2925
189007,-0.2849
189008,-0.3311
189009,-0.3558
189010,-0.2977
189011,-0.3431
189012,-0.2344
189101,-0.3843
189102,-0.5274
189103,-0.2167
189104,-0.2568
189105,-0.1460
189106,-0.2067
189107,-0.2270
189108,-0.2330
189109,-0.1558
189110,-0.2922
189111,-0.4010
189112,-0.0512
189201,-0.2421
189202,-0.1335
189203,-0.3127
189204,-0.3154
189205,-0.3065
189206,-0.2890
189207,-0.3537
189208,-0.3407
189209,-0.2277
189210,-0.2548
189211,-0.4750
189212,-0.4782
189301,-0.6817
189302,-0.6190
189303,-0.2272
189304,-0.3484
189305,-0.3433
189306,-0.2363
189307,-0.2034
189308,-0.3284
189309,-0.2615
189310,-0.2143
189311,-0.1667
189312,-0.2522
189401,-0.4338
189402,-0.2229
189403,-0.2060
189404,-0.3038
189405,-0.3020
189406,-0.3486
189407,-0.2716
189408,-0.2730
189409,-0.2532
189410,-0.2166
189411,-0.2981
189412,-0.2412
189501,-0.4390
189502,-0.4216
189503,-0.2854
189504,-0.1851
